"Results","Agent","Map","Placement","Duration (min)","Average Rank of Match","Average Combat Score (ACS)","A","K/D","Average Damage Per Round (ADR)","HS%","KAST%","First Kill","First Death","MK (Multikill)","Econ"
"0",54.4444444444444,51.7241379310345,42.1052631578947,33,44.8275862068966,101,4,0.411764705882353,76.6,25,43,0,2,0,31
"0",54.4444444444444,49.3150684931507,55.5555555555556,34,44.8275862068966,278,4,1.33333333333333,192.9,35,86,3,0,2,73
"0",48.1481481481481,51.5625,53.3333333333333,32,50,200,1,0.928571428571429,119.7,43,67,2,0,0,48
"0",54.4444444444444,49.2753623188406,75,19,53.3333333333333,198,0,1,162.2,27,50,0,0,1,74
"1",54.4444444444444,51.7241379310345,75,37,54.8387096774194,227,9,1.23076923076923,136.4,29,75,1,1,0,62
"0",54.4444444444444,52.112676056338,53.3333333333333,51,44.8275862068966,201,9,0.818181818181818,132.9,21,79,2,2,2,42
"0",54.4444444444444,49.3150684931507,42.1052631578947,32,44.8275862068966,119,7,0.375,84.6,17,72,1,1,0,33
"1",54.4444444444444,52.112676056338,59.2592592592593,31,44.8275862068966,145,10,0.9,98.9,28,83,0,1,0,45
"1",54.4444444444444,49.3150684931507,75,30,53.3333333333333,191,6,1.2,80.4,22,81,2,1,2,34
"1",50.6666666666667,51.5625,42.4657534246575,37,53.3333333333333,170,2,1.3,103,14,71,0,0,2,52
"0",33.3333333333333,52.112676056338,45.8823529411765,37,44.8275862068966,166,5,0.6875,116.4,23,67,2,1,0,53
"0",54.4444444444444,51.5625,42.4657534246575,41,53.3333333333333,157,6,0.631578947368421,112.3,10,71,1,3,1,45
"1",54.4444444444444,49.2753623188406,45.8823529411765,40,44.8275862068966,138,8,0.857142857142857,97.6,15,68,0,2,1,40
"1",50.6666666666667,52.112676056338,71.4285714285714,26,50,392,3,2.875,228.3,20,94,1,2,3,96
"1",100,51.5625,71.4285714285714,38,53.3333333333333,344,8,1.42105263157895,218.4,16,75,3,3,2,80
"0",54.4444444444444,52.112676056338,45.4545454545455,29,44.8275862068966,236,6,1.07692307692308,159.2,22,74,2,1,1,77
"1",71.4285714285714,52.112676056338,71.4285714285714,30,50,385,2,4.66666666666667,225.1,18,100,2,1,4,135
"1",54.4444444444444,55.8139534883721,45.4545454545455,36,44.8275862068966,199,9,1.30769230769231,124.7,22,77,1,2,1,57
"0",54.4444444444444,51.5625,42.4657534246575,47,44.8275862068966,193,10,0.80952380952381,121.9,18,82,4,1,1,44
"1",54.4444444444444,52.112676056338,53.3333333333333,32,44.8275862068966,209,1,1.54545454545455,127,18,80,2,0,2,68
"1",54.4444444444444,49.2753623188406,45.8823529411765,28,44.8275862068966,109,4,0.875,80.1,38,88,0,0,0,33
"0",54.4444444444444,55.8139534883721,42.1052631578947,36,44.8275862068966,116,4,0.421052631578947,56.9,29,59,0,2,0,23
"1",54.4444444444444,49.3150684931507,45.8823529411765,48,55.5555555555556,100,8,0.526315789473684,69.2,32,61,1,4,0,26
"1",54.4444444444444,51.5625,42.1052631578947,33,55.5555555555556,167,3,0.857142857142857,102.7,30,81,3,2,0,41
"0",54.4444444444444,52.112676056338,42.4657534246575,25,53.3333333333333,157,2,0.571428571428571,90.9,6,50,0,4,0,38
"0",54.4444444444444,51.7241379310345,45.4545454545455,40,54.8387096774194,237,3,1.11764705882353,156.8,33,71,1,0,1,58
"1",28.5714285714286,49.2753623188406,42.1052631578947,30,55.5555555555556,143,1,1.09090909090909,95.4,28,68,0,0,1,44
"1",54.4444444444444,49.2753623188406,45.8823529411765,43,54.8387096774194,157,5,0.65,99.5,25,67,0,1,1,37
"0",50.6666666666667,51.5625,42.4657534246575,41,44.8275862068966,203,7,0.944444444444444,136.4,19,71,2,0,0,54
"1",54.4444444444444,55.8139534883721,53.3333333333333,35,54.8387096774194,169,5,0.928571428571429,126.8,14,77,2,2,0,59
"0",54.4444444444444,49.3150684931507,45.8823529411765,25,44.8275862068966,98,1,0.357142857142857,69.1,24,44,0,3,0,29
"0",45.4545454545455,49.2753623188406,42.1052631578947,41,44.8275862068966,102,2,0.625,57.6,13,65,1,2,0,25
"1",54.4444444444444,55.8139534883721,42.1052631578947,35,54.8387096774194,81,6,0.466666666666667,46.5,21,58,0,1,0,19
"0",54.4444444444444,49.3150684931507,42.4657534246575,33,44.8275862068966,190,6,0.857142857142857,131,23,74,1,1,0,56
"0",54.4444444444444,49.3150684931507,42.4657534246575,32,54.8387096774194,158,3,0.642857142857143,88.7,14,65,0,1,2,47
"1",54.4444444444444,51.5625,45.8823529411765,49,54.8387096774194,220,11,1.33333333333333,148,21,81,2,0,1,65
"1",54.4444444444444,51.7241379310345,75,29,54.8387096774194,117,3,0.9,73.4,29,74,0,1,0,33
"0",54.4444444444444,52.112676056338,53.3333333333333,47,54.8387096774194,161,7,0.882352941176471,107.1,16,62,1,0,1,43
"1",54.4444444444444,55.8139534883721,45.8823529411765,41,46.1538461538462,131,7,0.5,141.9,23,50,1,1,0,54
"0",45.4545454545455,51.7241379310345,42.1052631578947,44,55.5555555555556,128,5,0.409090909090909,86.7,21,58,0,1,0,31
"1",54.4444444444444,52.112676056338,42.1052631578947,37,54.8387096774194,129,8,0.818181818181818,81.2,11,85,1,1,0,31
"1",50.6666666666667,51.5625,75,30,55.5555555555556,203,2,1.18181818181818,123.6,33,72,3,2,0,45
"1",50.6666666666667,52.112676056338,42.4657534246575,34,55.5555555555556,190,7,1.08333333333333,132.7,16,80,1,0,0,60
"1",50.6666666666667,51.5625,53.3333333333333,41,54.8387096774194,174,8,0.941176470588235,131.1,30,77,3,1,0,51
"0",54.4444444444444,52.112676056338,42.1052631578947,31,46.1538461538462,107,7,0.5,72,24,61,1,2,1,30
"0",54.4444444444444,49.3150684931507,42.1052631578947,28,55.5555555555556,60,7,0.2,50,5,41,0,0,0,20
"0",54.4444444444444,55.8139534883721,42.4657534246575,40,54.8387096774194,179,9,0.923076923076923,170.6,29,73,1,1,1,70
"1",54.4444444444444,52.112676056338,42.1052631578947,33,44.8275862068966,129,6,0.6,94.9,17,73,3,2,0,43
"0",45.4545454545455,52.112676056338,42.4657534246575,39,44.8275862068966,144,9,0.8125,97.9,21,75,0,1,0,46
"1",54.4444444444444,52.112676056338,53.3333333333333,40,54.8387096774194,183,18,1.07142857142857,136,17,91,2,1,0,54
"0",50.6666666666667,49.2753623188406,42.4657534246575,45,54.8387096774194,195,1,1.05882352941176,162.7,25,65,1,3,2,67
"1",33.3333333333333,49.3150684931507,45.4545454545455,39,55.5555555555556,210,5,1.45454545454545,154.8,22,90,1,0,1,72
"1",54.4444444444444,51.7241379310345,53.3333333333333,44,54.8387096774194,179,8,1.125,153.9,35,69,0,0,0,56
"0",54.4444444444444,51.5625,59.2592592592593,37,44.8275862068966,200,8,0.9375,184.2,34,77,1,3,0,66
"1",33.3333333333333,51.7241379310345,45.8823529411765,37,54.8387096774194,104,7,0.5,77.3,23,79,0,3,0,33
"0",33.3333333333333,51.7241379310345,53.3333333333333,35,55.5555555555556,208,7,1,147.8,34,73,0,0,0,61
"1",54.4444444444444,52.112676056338,42.1052631578947,31,55.5555555555556,109,7,0.538461538461538,81.6,18,84,0,0,0,31
"1",54.4444444444444,52.112676056338,75,23,54.8387096774194,179,11,2.16666666666667,103.6,14,100,0,0,0,55
"1",54.4444444444444,49.3150684931507,45.8823529411765,36,44.8275862068966,144,6,0.769230769230769,111.8,38,75,0,2,1,51
"1",66.6666666666667,55.8139534883721,59.2592592592593,35,54.8387096774194,133,0,0.6,96.9,15,52,2,0,0,45
"0",50.6666666666667,55.8139534883721,42.4657534246575,38,54.8387096774194,184,6,0.6,163.5,23,64,3,2,0,58
"0",33.3333333333333,52.112676056338,45.8823529411765,36,54.8387096774194,126,7,0.4,126.1,23,59,0,1,0,43
"1",50.6666666666667,52.112676056338,59.2592592592593,45,55.5555555555556,175,2,1,125,25,71,2,3,1,52
"0",54.4444444444444,51.5625,45.8823529411765,26,54.8387096774194,108,6,0.384615384615385,75.4,20,56,1,0,0,32
"1",54.4444444444444,49.3150684931507,42.4657534246575,28,54.8387096774194,133,8,0.727272727272727,84.9,5,72,1,6,1,41
"1",54.4444444444444,51.7241379310345,59.2592592592593,44,54.8387096774194,138,10,0.785714285714286,152.7,20,75,3,0,0,58
"1",54.4444444444444,49.3150684931507,45.8823529411765,41,55.5555555555556,133,12,0.916666666666667,89.6,12,81,0,1,0,39
"1",50.6666666666667,49.2753623188406,59.2592592592593,29,54.8387096774194,124,6,0.571428571428571,100.7,17,79,0,2,0,41
"0",54.4444444444444,51.5625,45.8823529411765,35,46.1538461538462,173,10,1.07142857142857,111.7,25,71,1,0,2,52
"0",54.4444444444444,51.5625,45.8823529411765,44,60,146,9,0.75,92.6,23,62,1,3,1,34
"0",54.4444444444444,55.8139534883721,45.8823529411765,39,46.1538461538462,132,5,0.5,96.8,31,48,1,2,1,41
"0",54.4444444444444,45.2380952380952,45.8823529411765,32,46.1538461538462,124,2,0.571428571428571,80.3,18,60,0,0,0,47
"1",45.4545454545455,52.112676056338,78.5714285714286,34,54.8387096774194,255,9,1.7,180.3,29,89,2,2,2,81
"1",45.4545454545455,49.2753623188406,55.5555555555556,31,54.8387096774194,321,11,2,236.8,21,95,1,4,2,113
"1",50.6666666666667,52.112676056338,71.4285714285714,36,55.5555555555556,295,5,1.5625,189.3,43,83,6,0,2,87
"0",50.6666666666667,55.8139534883721,78.5714285714286,46,54.8387096774194,276,5,1.27777777777778,191,18,73,3,4,2,74
"1",50.6666666666667,49.2753623188406,78.5714285714286,53,54.8387096774194,286,5,1.22727272727273,187.8,9,61,5,6,3,70
"1",45.4545454545455,49.3150684931507,78.5714285714286,37,55.5555555555556,251,8,1.30769230769231,165,22,81,4,1,2,72
"0",54.4444444444444,45.2380952380952,53.3333333333333,27,55.5555555555556,189,4,0.6875,115.2,13,59,0,0,1,50
"1",54.4444444444444,49.2753623188406,59.2592592592593,42,55.5555555555556,158,10,0.666666666666667,111.7,27,70,2,2,0,48
"0",54.4444444444444,49.2753623188406,78.5714285714286,32,46.1538461538462,260,6,1,174.7,11,72,0,0,0,71
"1",50.6666666666667,51.5625,53.3333333333333,40,55.5555555555556,238,3,1.69230769230769,147.8,21,83,2,0,2,62
"1",54.4444444444444,45.2380952380952,75,29,54.8387096774194,202,7,1.57142857142857,138.9,24,89,1,0,0,100
"1",50.6666666666667,52.112676056338,45.4545454545455,40,55.5555555555556,238,3,1.69230769230769,147.8,21,83,2,0,2,62
"0",54.4444444444444,51.7241379310345,42.1052631578947,31,60,91,10,0.333333333333333,67.9,21,60,0,0,0,31
"0",28.5714285714286,52.112676056338,45.8823529411765,38,46.1538461538462,145,8,0.434782608695652,118.2,23,62,2,3,0,45
"1",50.6666666666667,49.2753623188406,78.5714285714286,24,55.5555555555556,216,1,3.5,309.5,38,93,1,0,0,145
"1",100,55.8139534883721,42.1052631578947,38,55.5555555555556,67,4,0.352941176470588,51.8,19,65,1,2,0,19
"1",100,55.8139534883721,75,22,55.5555555555556,228,8,1.18181818181818,166.1,21,76,1,2,1,70
"1",28.5714285714286,45.2380952380952,53.3333333333333,32,46.1538461538462,181,5,1.5,104.7,20,70,0,1,1,53
"0",28.5714285714286,51.5625,45.8823529411765,31,46.1538461538462,202,8,0.647058823529412,150.9,34,61,0,1,0,66
"0",28.5714285714286,49.3150684931507,53.3333333333333,32,46.1538461538462,114,7,0.411764705882353,81.7,20,65,0,1,0,34
"0",50.6666666666667,49.2753623188406,45.8823529411765,34,46.1538461538462,144,4,0.6875,106.6,24,68,0,1,0,46
"1",50.6666666666667,49.3150684931507,45.8823529411765,40,60,100,3,0.388888888888889,78.9,28,71,1,1,0,35
"1",54.4444444444444,52.112676056338,45.8823529411765,45,60,167,7,1.05882352941176,113.5,22,69,0,0,0,41
"1",50.6666666666667,49.3150684931507,78.5714285714286,30,60,282,8,1.8,239.8,13,78,2,1,2,102
"0",50.6666666666667,51.7241379310345,53.3333333333333,39,55.5555555555556,189,2,1,127.7,16,74,3,1,1,55
"1",54.4444444444444,51.7241379310345,59.2592592592593,48,46.1538461538462,124,12,0.705882352941177,86.9,14,69,0,2,1,31
"1",100,49.2753623188406,42.1052631578947,40,46.1538461538462,85,3,0.470588235294118,65,29,62,0,2,0,29
"0",54.4444444444444,45.2380952380952,59.2592592592593,37,46.1538461538462,185,6,0.875,120.8,15,68,1,2,0,52
"0",28.5714285714286,52.112676056338,42.1052631578947,38,55.5555555555556,105,10,0.466666666666667,69.4,10,57,0,2,0,32
"1",54.4444444444444,52.112676056338,53.3333333333333,37,55.5555555555556,216,5,1.38461538461538,147.4,19,70,1,3,1,69
"0",54.4444444444444,45.2380952380952,42.1052631578947,20,46.1538461538462,82,1,0.230769230769231,50.6,9,31,2,1,0,20
"0",54.4444444444444,51.7241379310345,45.8823529411765,39,55.5555555555556,186,5,0.75,122.6,17,71,2,3,1,51
"1",54.4444444444444,55.8139534883721,53.3333333333333,19,44.8275862068966,165,5,1.16666666666667,111.9,28,92,1,2,1,44
"1",54.4444444444444,51.7241379310345,59.2592592592593,40,44.8275862068966,190,9,1.33333333333333,151.2,37,90,1,2,2,61
"0",54.4444444444444,51.5625,42.4657534246575,33,46.1538461538462,153,4,0.625,114.2,10,64,0,1,0,44
"1",48.1481481481481,51.5625,59.2592592592593,22,46.1538461538462,116,4,1.5,87.3,32,93,1,1,0,67
"1",54.4444444444444,52.112676056338,42.4657534246575,41,46.1538461538462,191,9,1.07142857142857,133.9,30,73,0,1,2,56
"0",28.5714285714286,52.112676056338,42.1052631578947,31,54.8387096774194,110,5,0.5625,77,24,61,2,3,0,38
"1",50.6666666666667,49.2753623188406,42.4657534246575,38,55.5555555555556,162,5,0.866666666666667,106.5,27,82,1,2,0,44
"0",48.1481481481481,51.5625,42.4657534246575,33,55.5555555555556,178,5,0.736842105263158,194.1,13,64,2,4,1,72
"1",54.4444444444444,49.3150684931507,45.4545454545455,44,55.5555555555556,234,11,1.42857142857143,165.7,28,83,4,2,3,75
"0",50.6666666666667,55.8139534883721,55.5555555555556,34,55.5555555555556,309,4,1.27777777777778,254.3,39,81,1,1,1,104
"1",54.4444444444444,49.3150684931507,53.3333333333333,31,55.5555555555556,197,7,1.875,136.3,24,72,1,0,0,66
"0",54.4444444444444,45.2380952380952,42.1052631578947,40,55.5555555555556,115,12,0.421052631578947,130.3,12,71,1,0,0,46
"1",54.4444444444444,45.2380952380952,59.2592592592593,41,46.1538461538462,155,13,1.14285714285714,103.4,36,75,2,0,0,40
"0",54.4444444444444,51.5625,59.2592592592593,23,46.1538461538462,160,4,0.642857142857143,104.8,10,50,0,1,0,39
"1",54.4444444444444,49.2753623188406,45.8823529411765,34,46.1538461538462,87,8,0.583333333333333,58.3,29,79,1,2,0,26
"0",50.6666666666667,45.2380952380952,42.4657534246575,32,55.5555555555556,112,1,0.4375,84.7,16,47,1,1,0,35
"1",54.4444444444444,49.3150684931507,45.8823529411765,32,55.5555555555556,134,10,0.769230769230769,91.1,22,80,2,1,0,38
"1",54.4444444444444,49.2753623188406,42.1052631578947,29,46.1538461538462,83,9,0.75,69.5,28,76,0,0,0,32
"0",54.4444444444444,51.5625,42.4657534246575,46,46.1538461538462,168,9,0.777777777777778,123.8,22,88,0,1,0,45
"1",50.6666666666667,49.3150684931507,55.5555555555556,33,55.5555555555556,239,3,1.14285714285714,175.3,37,65,3,0,1,70
"0",54.4444444444444,49.2753623188406,45.8823529411765,47,60,160,13,0.823529411764706,120.8,15,89,0,2,0,49
"0",54.4444444444444,51.5625,45.8823529411765,38,46.1538461538462,130,3,0.8,87,37,58,0,0,1,40
"0",28.5714285714286,49.3150684931507,55.5555555555556,38,46.1538461538462,242,7,1.14285714285714,201,22,70,2,0,2,91
"0",28.5714285714286,49.2753623188406,59.2592592592593,41,55.5555555555556,157,4,0.777777777777778,103.1,26,64,1,0,0,41
"1",50.6666666666667,49.2753623188406,53.3333333333333,31,55.5555555555556,170,8,0.857142857142857,119.8,15,77,3,2,1,53
"1",50.6666666666667,55.8139534883721,42.4657534246575,31,46.1538461538462,184,3,0.846153846153846,119.4,34,78,2,4,0,51
"0",50.6666666666667,45.2380952380952,45.8823529411765,38,46.1538461538462,138,5,0.409090909090909,100.8,19,57,0,2,0,35
"1",50.6666666666667,55.8139534883721,59.2592592592593,23,60,152,3,0.727272727272727,102.5,15,53,0,5,1,45
"1",54.4444444444444,51.5625,78.5714285714286,32,55.5555555555556,230,7,1.55555555555556,161.9,38,83,2,1,3,88
"0",54.4444444444444,49.2753623188406,45.8823529411765,35,60,175,4,1,110.3,16,65,1,0,0,44
"0",54.4444444444444,51.5625,42.4657534246575,37,46.1538461538462,180,6,0.833333333333333,110.7,31,78,3,3,0,45
"1",66.6666666666667,55.8139534883721,75,25,55.5555555555556,185,2,2,133.6,15,88,0,1,0,70
"0",54.4444444444444,51.5625,42.4657534246575,43,55.5555555555556,156,4,0.666666666666667,110.1,22,50,2,4,1,46
"0",54.4444444444444,51.5625,45.4545454545455,40,55.5555555555556,171,10,0.888888888888889,118.7,23,57,2,3,2,39
"1",54.4444444444444,55.8139534883721,42.1052631578947,35,46.1538461538462,95,4,0.470588235294118,58,14,52,1,2,0,21
"1",50.6666666666667,51.7241379310345,53.3333333333333,66,55.5555555555556,214,12,0.961538461538462,173.8,17,75,4,8,1,53
"1",66.6666666666667,55.8139534883721,45.8823529411765,28,44.8275862068966,157,7,0.8,119.4,12,76,0,1,0,57
"0",28.5714285714286,52.112676056338,42.1052631578947,32,46.1538461538462,118,4,0.352941176470588,90,26,47,1,2,0,38
"0",66.6666666666667,55.8139534883721,42.1052631578947,31,55.5555555555556,114,4,0.375,90.3,23,42,0,2,0,43
"0",54.4444444444444,49.2753623188406,42.1052631578947,27,46.1538461538462,60,3,0.153846153846154,53.6,15,50,0,1,0,23
"0",48.1481481481481,51.7241379310345,45.8823529411765,36,46.1538461538462,122,1,0.625,82.1,23,48,1,1,0,32
"1",54.4444444444444,51.7241379310345,55.5555555555556,34,46.1538461538462,242,3,1.33333333333333,140.6,36,77,4,1,2,52
"1",54.4444444444444,51.7241379310345,45.8823529411765,40,44.8275862068966,147,7,0.65,114.6,23,75,1,2,0,41
